# week, sectorid, diam_T, e1_T, e2_T, e3_T, e4_T, cc_T, diam, e1, e2, e3, e4, cc 
47.0000,7601.0000,16.0000,7.8531,7.1392,6.9069,7.2331,0.0000,8.0000,5.1969,4.7890,4.7966,4.7947,0.6551
48.0000,7601.0000,15.0000,8.6943,6.9974,8.1745,6.9948,0.0000,9.0000,5.2874,4.8661,4.8548,4.9367,0.6526
49.0000,7601.0000,15.0000,7.1489,7.5187,6.9083,8.2498,0.0000,8.0000,4.9447,4.9875,5.0675,4.9909,0.6478
50.0000,7601.0000,18.0000,7.8560,8.1806,6.9489,7.2104,0.0000,10.0000,5.2046,5.0109,5.3955,5.0603,0.6482
51.0000,7601.0000,18.0000,6.9588,7.7905,8.0617,8.5232,0.0000,9.0000,5.1695,4.9677,4.9853,4.8732,0.6489
52.0000,7601.0000,15.0000,6.9041,6.9417,6.9769,7.2517,0.0000,10.0000,5.0825,4.8343,4.8426,4.7762,0.6504
53.0000,7601.0000,15.0000,6.9985,7.1591,7.7135,8.7507,0.0000,7.0000,4.9893,4.9070,5.1280,4.8758,0.6441
54.0000,7601.0000,16.0000,7.5745,7.8235,6.9749,7.0204,0.0000,8.0000,4.8706,4.8616,4.7625,4.6697,0.6430
55.0000,7601.0000,15.0000,8.0305,7.0244,7.9956,8.2801,0.0000,9.0000,4.9181,4.8036,5.0928,4.7807,0.6266
56.0000,7601.0000,16.0000,7.9102,8.0259,8.2004,6.9778,0.0000,7.0000,4.9432,4.9134,5.0240,5.0699,0.5825
57.0000,7601.0000,16.0000,7.1857,8.2717,6.9353,6.9547,0.0000,7.0000,4.7146,4.8871,4.9883,4.8801,0.6308
58.0000,7601.0000,16.0000,6.9901,6.9968,6.9776,6.9953,0.0000,9.0000,4.9685,4.7615,4.9294,4.8372,0.6375
59.0000,7601.0000,17.0000,8.0424,6.8831,8.2462,7.6802,0.0000,9.0000,4.7302,4.7558,4.6115,4.7573,0.6299
60.0000,7601.0000,15.0000,7.3238,7.2378,7.9293,6.8723,0.0000,8.0000,4.6644,4.7270,4.9209,4.8156,0.6399
61.0000,7601.0000,14.0000,6.9903,8.2304,7.3177,6.9879,0.0000,8.0000,5.2642,4.9730,4.9148,4.8539,0.6427
62.0000,7601.0000,18.0000,7.9398,7.1311,8.3069,8.1584,0.0000,8.0000,5.3586,5.1242,5.3018,4.9646,0.6380
63.0000,7601.0000,18.0000,7.9563,6.9797,8.1551,8.0945,0.0000,9.0000,4.9968,5.3907,5.2149,5.0051,0.6481
64.0000,7601.0000,16.0000,7.4115,7.9064,7.0725,8.5221,0.0000,10.0000,4.8974,5.0702,5.1947,4.9432,0.6462
65.0000,7601.0000,17.0000,8.0047,8.7540,8.0140,7.7634,0.0000,9.0000,5.0947,5.1199,4.8717,4.9978,0.6541
66.0000,7601.0000,16.0000,8.2866,7.7595,7.5864,8.1092,0.0000,8.0000,4.8698,4.9340,4.8662,4.8800,0.6539
67.0000,7601.0000,18.0000,6.9593,8.0436,8.2979,8.0852,0.0000,9.0000,4.8827,4.9333,4.8361,5.1653,0.6480
68.0000,7601.0000,19.0000,8.2606,8.0218,6.9286,8.1103,0.0000,10.0000,4.9224,4.8386,4.8896,5.1277,0.6520
69.0000,7601.0000,17.0000,8.3278,8.3724,8.2172,8.0994,0.0000,9.0000,4.8399,4.9689,4.8845,4.9544,0.6558
70.0000,7601.0000,20.0000,6.9773,8.1614,7.6867,7.0807,0.0000,10.0000,5.1717,4.8721,5.4897,5.2374,0.6533
71.0000,7601.0000,20.0000,8.1572,8.1828,8.1389,7.2381,0.0000,10.0000,5.2982,5.2069,4.9961,4.8970,0.6594
72.0000,7601.0000,18.0000,6.9624,8.4391,6.9639,7.2873,0.0000,9.0000,4.9677,4.9923,5.0660,5.3004,0.6562
73.0000,7601.0000,18.0000,8.3887,8.0692,7.9467,7.4208,0.0000,9.0000,4.9970,4.8858,4.8544,4.8872,0.6696
74.0000,7601.0000,16.0000,6.9415,8.2830,8.5117,6.9492,0.0000,10.0000,4.9132,5.6048,4.9291,5.2358,0.6578
75.0000,7601.0000,22.0000,8.1060,8.0300,7.7792,7.4155,0.0000,9.0000,5.2406,5.0071,5.7454,5.2962,0.6567
76.0000,7601.0000,18.0000,8.2225,8.0033,7.6319,8.3209,0.0000,9.0000,5.4136,5.0519,5.6138,5.2705,0.6572
77.0000,7601.0000,20.0000,7.4031,7.6271,8.0176,7.6456,0.0000,9.0000,5.1430,5.4993,5.3902,5.4491,0.6537
78.0000,7601.0000,22.0000,6.9781,6.9342,6.9904,8.0870,0.0000,11.0000,4.8780,4.8696,4.7798,4.9736,0.6507
79.0000,7601.0000,18.0000,8.2645,8.0447,8.2320,8.0538,0.0000,10.0000,4.9663,5.3379,5.0985,6.1070,0.6506
80.0000,7601.0000,16.0000,6.9943,8.4390,7.0500,8.2745,0.0000,9.0000,5.1628,4.9259,4.7567,5.5132,0.6538
81.0000,7601.0000,18.0000,7.6011,7.6253,6.9627,8.1691,0.0000,9.0000,4.7846,4.9347,4.8250,4.9531,0.6520
82.0000,7601.0000,17.0000,8.3597,7.9339,8.0566,8.3549,0.0000,9.0000,5.4907,4.8363,5.1200,4.9154,0.6557
83.0000,7601.0000,22.0000,8.0991,8.1406,7.5568,8.3998,0.0000,11.0000,4.9880,4.9530,4.9887,5.2991,0.6638
84.0000,7601.0000,20.0000,6.9825,8.3711,6.9746,7.1760,0.0000,11.0000,5.6301,4.9580,4.9677,5.3185,0.6572
85.0000,7601.0000,18.0000,8.4175,8.2430,8.0688,8.1427,0.0000,10.0000,4.9398,5.0498,5.1566,4.9579,0.6557
86.0000,7601.0000,19.0000,8.2349,8.2073,8.0416,8.0304,0.0000,10.0000,5.1526,4.9535,5.3156,5.6518,0.6544
87.0000,7601.0000,18.0000,7.8144,8.2865,6.9764,8.3968,0.0000,9.0000,5.1256,5.3223,5.0640,5.0618,0.6614
88.0000,7601.0000,15.0000,7.0454,8.2040,7.6012,8.2478,0.0000,10.0000,4.9808,5.2962,5.1185,5.2706,0.6574
89.0000,7601.0000,19.0000,7.1797,8.2813,6.9890,8.4350,0.0000,10.0000,5.5683,5.4635,4.8762,5.0631,0.6604
1.0000,7502.0000,22.0000,12.6761,12.4935,12.8881,12.6614,0.0000,12.0000,6.8318,6.6748,6.8976,7.0153,0.5737
2.0000,7502.0000,23.0000,11.6355,11.8835,12.0267,12.0286,0.0000,11.0000,6.4518,6.5788,6.3425,6.4238,0.5825
3.0000,7502.0000,26.0000,12.2499,12.0451,12.1001,12.4399,0.0000,11.0000,6.6907,6.6071,6.3144,6.3370,0.5803
4.0000,7502.0000,22.0000,12.5737,12.8339,11.1578,12.7191,0.0000,11.0000,6.8380,6.4540,6.9415,6.7295,0.5601
5.0000,7502.0000,23.0000,11.2579,12.1849,12.0142,11.3660,0.0000,11.0000,6.3858,6.7079,6.5139,6.3548,0.5098
6.0000,7502.0000,21.0000,13.4703,12.6727,12.1609,12.6718,0.0000,10.0000,6.4474,6.9575,6.3841,6.5142,0.5660
7.0000,7502.0000,30.0000,12.2531,12.6004,12.5300,11.5994,0.0000,12.0000,6.6236,6.4023,6.4545,6.8928,0.5834
8.0000,7502.0000,24.0000,12.2927,14.0988,11.9233,11.5292,0.0000,11.0000,7.0664,6.6629,6.7399,6.7230,0.6139
9.0000,7502.0000,22.0000,11.8674,12.6694,13.1317,12.6765,0.0000,11.0000,6.7141,6.6728,6.8150,6.5653,0.6069
10.0000,7502.0000,24.0000,12.0668,11.7617,11.8674,12.3608,0.0000,10.0000,6.8718,6.6025,6.8524,7.2064,0.6123
11.0000,7502.0000,24.0000,13.0402,12.6717,14.0669,12.4390,0.0000,11.0000,7.2759,7.3133,6.8239,6.9178,0.6148
12.0000,7502.0000,22.0000,12.7783,12.9652,12.8215,12.7064,0.0000,11.0000,6.9361,6.7530,6.7220,6.7250,0.6219
13.0000,7502.0000,24.0000,12.6253,13.6059,13.8632,12.3085,0.0000,14.0000,7.0383,7.1921,6.8152,6.9062,0.6111
14.0000,7502.0000,20.0000,12.1153,12.2485,12.5368,12.2258,0.0000,11.0000,6.4284,6.4633,6.4086,6.3953,0.6203
15.0000,7502.0000,19.0000,11.6683,11.4070,12.3222,11.0890,0.0000,9.0000,5.9621,6.4028,6.0739,6.1131,0.6310
